workclass,age,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
2,82,132870,11,9,6,3,1,4,0,17,0
2,54,140359,5,4,0,6,4,4,0,39,0
2,41,264663,15,10,5,9,3,4,0,39,0
2,34,216864,11,9,0,7,4,4,0,44,0
2,38,150601,0,6,5,0,4,4,1,39,0
5,74,88638,10,16,4,9,2,4,0,19,1
0,68,422013,11,9,0,9,1,4,0,39,0
2,41,70037,15,10,4,2,4,4,1,59,1
2,45,172274,10,16,0,9,4,2,0,34,1
4,38,164526,14,15,4,9,1,4,1,44,1
2,52,129177,9,13,6,7,1,4,0,19,1
2,32,136204,12,14,5,3,1,4,1,54,1
2,46,45363,14,15,0,9,1,4,1,39,1
2,45,172822,1,7,0,13,1,4,1,73,1
2,57,317847,12,14,0,3,1,4,1,49,1
2,22,119592,7,12,4,5,1,2,1,39,1
2,34,203034,9,13,5,11,1,4,1,49,1
2,37,188774,9,13,4,3,1,4,1,39,1
2,29,77009,1,7,5,11,1,4,0,41,0
2,61,29059,11,9,0,11,4,4,0,24,0
2,51,153870,15,10,2,13,0,4,1,39,0
2,21,34310,8,11,2,2,0,4,1,39,0
2,33,228696,3,2,2,2,1,4,1,31,0
2,49,122066,4,3,2,7,0,4,1,39,0
3,37,107164,0,6,4,13,1,4,1,49,1
2,38,175360,0,6,4,9,1,4,1,85,1
2,23,44064,15,10,5,7,1,4,1,39,1
3,59,107287,0,6,6,3,4,4,0,49,1
2,52,198863,14,15,0,3,1,4,1,59,1
2,51,123011,9,13,0,3,1,4,1,49,1
4,60,205246,11,9,4,3,1,2,1,49,1
0,63,39181,10,16,0,3,1,4,0,59,1
2,53,149650,11,9,4,11,1,4,1,47,1
2,51,197163,14,15,4,9,1,4,0,49,1
4,37,137527,10,16,4,9,1,4,0,59,1
2,54,161691,12,14,0,9,1,4,0,39,1
2,44,326232,9,13,0,3,4,4,1,49,1
2,43,115806,12,14,0,3,4,4,0,39,1
2,51,115066,15,10,0,0,4,4,0,39,1
2,43,289669,12,14,0,9,4,4,0,39,1
2,48,121253,9,13,3,11,4,4,0,68,1
2,71,110380,11,9,2,11,0,4,1,51,0
4,73,233882,11,9,2,4,0,1,1,39,0
4,40,335549,14,15,4,9,1,4,1,44,1
2,50,237729,11,9,6,11,1,4,0,69,1
5,51,68898,8,11,0,12,1,4,1,38,1
2,42,107276,15,10,4,3,1,4,0,39,1
2,39,141584,12,14,4,11,1,4,1,44,1
2,32,207668,9,13,4,3,2,4,1,49,1
2,53,313243,15,10,5,2,1,4,1,44,1
1,40,147372,15,10,4,10,1,4,1,39,1
2,38,237608,9,13,4,11,1,4,0,44,1
2,33,194901,8,11,5,2,1,4,1,41,1
2,43,155106,7,12,0,2,1,4,1,68,1
3,50,121441,1,7,4,3,2,4,1,39,1
2,44,162028,15,10,2,0,5,4,0,5,1
4,51,160724,9,13,2,11,0,1,1,39,1
2,41,132222,14,15,2,9,0,4,1,39,1
3,60,226355,8,11,2,6,0,4,1,68,1
2,37,329980,12,14,2,3,0,4,1,59,1
3,55,124137,14,15,2,9,0,4,1,34,1
3,39,329980,9,13,2,11,0,4,1,59,1
3,42,187702,14,15,2,9,0,4,1,59,1
2,49,199029,9,13,2,11,0,4,1,54,1
4,47,145290,11,9,2,3,0,4,1,49,1
1,41,297248,14,15,2,9,0,4,1,44,1
3,55,227856,9,13,2,3,0,4,1,49,1
2,39,179731,12,14,2,3,5,4,0,64,1
2,42,154374,9,13,2,3,0,4,1,59,1
2,46,326857,12,14,2,11,0,4,1,64,1
2,40,160369,12,14,2,3,0,4,1,44,1
2,32,396745,9,13,2,9,0,4,1,47,1
3,41,151089,15,10,2,3,0,4,1,54,1
3,60,336188,14,15,2,9,0,4,1,76,1
2,31,279015,12,14,2,3,0,4,1,68,1
4,58,43221,15,10,2,4,0,4,1,39,1
3,37,30529,9,13,2,11,0,4,1,49,1
4,44,201742,9,13,2,3,0,4,1,49,1
4,39,218490,14,15,2,9,0,4,1,49,1
0,43,156996,14,15,2,9,0,1,1,54,1
3,55,298449,9,13,2,3,0,4,1,49,1
3,44,191712,12,14,2,9,0,4,1,54,1
2,39,198654,14,15,2,9,0,1,1,66,1
4,46,102308,9,13,2,11,0,4,1,39,1
2,39,348521,15,10,2,4,0,4,1,93,1
3,62,56248,9,13,2,4,0,4,1,59,1
4,31,252752,11,9,2,7,5,4,0,39,1
2,46,192963,9,13,2,0,0,1,1,34,1
4,46,198759,14,15,2,9,0,4,1,76,1
3,39,143123,8,11,2,2,0,4,1,39,1
2,39,237713,14,15,2,11,0,4,1,93,1
2,59,81929,10,16,2,9,0,4,1,44,1
3,50,167793,14,15,2,9,0,4,1,59,1
2,46,456062,10,16,2,9,0,4,1,54,1
4,53,105478,9,13,2,3,0,4,1,39,1
4,50,42402,14,15,2,9,0,4,1,29,1
3,41,114580,14,15,2,3,5,4,0,54,1
2,36,346478,9,13,2,11,0,4,1,44,1
2,38,187870,14,15,2,9,0,4,1,85,1
2,54,35576,15,10,2,11,0,4,1,49,1
2,50,102346,9,13,2,3,5,4,0,19,1
2,47,148995,9,13,2,3,0,4,1,59,1
3,47,102308,14,15,2,9,0,4,1,44,1
2,67,105252,9,13,6,3,1,4,1,39,1
3,67,106175,9,13,2,3,0,4,1,72,1
4,72,52138,10,16,2,9,0,4,1,24,1
3,46,191978,12,14,2,3,0,4,1,49,1
3,78,188044,9,13,2,3,0,4,1,39,1
3,71,66624,9,13,2,3,0,4,1,59,1
3,83,153183,9,13,2,3,0,4,1,54,1
2,68,211287,12,14,2,3,0,4,1,39,1
2,26,181655,8,11,2,0,0,4,1,44,0
5,68,235882,10,16,2,9,0,4,1,59,1
3,49,158685,11,9,2,0,5,4,0,39,1
2,36,370767,11,9,2,9,0,4,1,59,0
4,70,155141,9,13,2,2,0,4,1,11,1
2,27,156516,15,10,2,0,5,2,0,19,0
1,35,177305,15,10,2,3,0,4,1,39,0
2,23,162945,11,9,2,11,0,4,1,39,0
2,81,177408,11,9,2,3,0,4,1,25,1
4,66,427422,10,16,2,11,0,4,1,24,1
2,71,152307,11,9,2,3,0,4,1,44,1
2,68,218637,15,10,2,11,0,4,1,54,1
5,68,202699,12,14,2,9,0,4,1,41,1
2,52,222405,11,9,2,11,0,2,1,39,0
3,40,110862,7,12,2,2,0,4,1,49,0
2,21,377931,15,10,2,3,0,4,1,47,0
2,35,192923,11,9,2,2,0,4,1,39,0
3,70,207938,9,13,2,3,0,4,1,49,1
4,61,36671,11,9,2,4,0,4,1,49,0
3,65,81413,11,9,2,4,0,4,1,64,0
2,46,214955,4,3,0,2,1,4,0,44,0
1,26,166295,9,13,4,9,1,4,1,54,0
1,59,147707,11,9,6,4,4,4,1,39,0
2,61,43554,4,3,4,5,1,2,1,39,0
5,60,358893,9,13,0,9,1,4,0,39,0
3,49,141058,15,10,0,3,1,4,1,49,0
2,34,25322,9,13,3,6,1,1,1,39,0
2,25,77071,9,13,4,9,3,4,0,34,0
2,55,158702,15,10,4,0,1,2,0,44,0
1,59,171328,11,9,5,10,2,2,0,39,0
5,28,381789,15,10,5,3,3,4,1,39,0
4,56,346635,12,14,0,11,4,4,0,59,0
2,41,162140,11,9,0,2,1,4,1,39,0
2,42,191765,11,9,4,0,2,2,0,39,0
2,28,251905,14,15,4,9,1,4,1,39,0
4,40,33310,14,15,0,7,1,4,0,34,0
2,69,228921,9,13,6,9,1,4,1,39,1
1,66,36364,11,9,2,2,0,4,1,39,0
2,69,124930,4,3,2,6,0,4,1,39,0
1,55,176046,12,14,2,9,5,4,0,39,0
0,57,370890,11,9,4,0,1,4,1,39,0
4,20,157145,15,10,4,4,3,4,1,9,0
2,33,288825,11,9,0,2,1,4,1,79,0
4,30,257295,15,10,4,11,2,1,1,39,0
2,40,287983,9,13,4,12,1,1,0,47,0
2,38,101978,15,10,5,6,1,4,1,54,1
5,46,192779,7,12,0,0,4,4,1,37,1
2,29,135296,9,13,4,3,1,4,0,44,1
0,57,199114,9,13,4,0,1,4,1,39,0
2,39,156897,11,9,4,2,3,4,1,41,1
2,47,138107,9,13,0,3,1,4,1,39,1
2,26,279833,9,13,4,3,1,4,1,44,1
4,27,208577,11,9,4,2,1,4,1,49,0
2,23,102942,9,13,4,9,3,4,0,39,1
2,34,36385,12,14,4,9,1,4,1,49,0
2,33,176185,2,8,0,2,1,4,1,41,0
1,38,162613,12,14,4,9,1,4,0,59,0
2,57,121362,15,10,6,0,4,4,0,37,1
2,36,145933,11,9,4,3,1,4,1,68,0
0,44,29591,9,13,0,12,1,4,1,39,1
5,49,269417,10,16,4,3,1,4,0,49,1
3,44,178510,15,10,4,11,1,4,1,59,0
2,55,41108,15,10,6,4,1,4,1,61,1
2,45,187901,11,9,0,4,1,4,1,43,1
2,48,175070,11,9,0,3,1,4,0,39,1
2,31,263561,9,13,2,3,0,4,1,44,1
1,55,99131,11,9,2,9,2,4,0,39,1
4,70,143833,15,10,2,3,0,4,1,39,1
4,70,124449,12,14,2,3,0,4,1,7,1
2,73,336007,9,13,2,9,0,4,1,39,1
4,72,285408,14,15,2,9,0,4,1,27,1
2,31,327825,11,9,5,6,4,4,0,39,0
2,28,129460,0,6,6,0,4,4,0,34,0
4,23,258298,9,13,4,0,3,4,1,39,1
1,49,102359,6,5,6,5,4,4,1,39,1
1,27,92431,15,10,4,10,1,4,1,39,1
2,90,51744,11,9,4,7,1,2,1,39,0
2,68,166149,11,9,6,0,1,4,0,29,0
2,65,149811,11,9,0,0,4,4,0,58,0
2,67,118363,9,13,0,3,1,4,0,4,0
1,66,362165,9,13,6,9,1,2,0,24,0
2,24,379066,15,10,4,0,1,4,1,23,0
4,44,171424,15,10,0,6,1,4,1,34,0
2,35,108293,15,10,4,0,3,4,0,39,0
2,20,107801,7,12,4,7,3,4,0,17,0
2,38,126675,11,9,0,2,1,4,1,39,0
2,39,155603,15,10,4,7,3,2,0,39,0
2,32,27882,15,10,4,6,2,4,0,39,0
2,42,242564,5,4,4,5,1,2,1,39,0
3,42,23510,12,14,0,3,4,1,1,59,1
2,64,181232,1,7,2,2,0,4,1,39,0
2,28,166481,5,4,2,5,0,3,1,39,0
3,41,139916,8,11,2,11,0,3,1,79,0
4,41,144594,5,4,2,2,0,4,1,39,0
4,58,266707,3,2,2,13,0,4,1,17,0
5,59,303176,15,10,2,3,0,4,1,39,0
4,34,56460,11,9,2,4,5,4,0,11,0
2,45,167523,11,9,2,13,0,4,1,44,0
2,29,119004,11,9,2,0,5,4,0,39,0
2,47,175925,0,6,2,11,0,4,1,51,0
2,40,212847,15,10,2,6,0,4,1,39,0
4,47,191175,4,3,2,11,0,4,1,49,0
4,41,170214,11,9,2,5,0,4,1,39,0
2,34,180714,15,10,2,13,0,2,1,39,0
4,65,111483,15,10,2,3,0,4,1,9,1
2,70,282642,11,9,2,5,0,4,1,39,1
4,75,309955,14,15,2,9,0,4,1,49,1
5,65,215908,11,9,2,0,0,4,1,39,1
0,65,23494,15,10,2,3,0,2,1,39,1
2,73,147551,15,10,2,9,0,4,1,49,1
4,68,116903,8,11,2,9,0,4,1,39,0
4,74,119129,11,9,2,11,0,4,1,19,0
2,43,143582,4,3,2,6,5,1,0,69,0
4,19,342384,1,7,2,2,3,4,1,54,0
4,37,68899,11,9,2,2,0,4,1,39,0
0,45,207107,7,12,0,0,4,1,1,39,0
2,64,149044,12,14,2,9,0,1,1,59,0
2,30,148524,11,9,2,13,0,4,1,39,0
4,51,268639,15,10,2,9,5,4,0,59,0
2,35,272019,1,7,2,2,0,4,1,39,0
2,29,239753,11,9,2,0,5,4,0,19,0
2,34,199864,15,10,2,0,5,4,0,39,0
2,41,125831,11,9,2,2,0,4,1,59,0
2,35,67728,15,10,2,2,0,4,1,44,0
2,26,115717,15,10,2,0,0,4,1,39,0
2,54,172281,11,9,2,13,0,4,1,49,0
1,52,305053,11,9,2,2,0,4,1,39,0
4,50,105010,11,9,2,4,0,4,1,19,0
2,31,291052,15,10,2,0,0,4,1,39,0
0,38,248919,11,9,2,13,0,4,1,39,0
2,30,84119,15,10,2,2,0,4,1,39,0
1,34,105540,9,13,2,9,0,4,1,39,0
2,31,161765,15,10,2,11,0,4,1,56,0
2,52,195635,11,9,2,6,0,4,1,37,0
2,54,816750,11,9,2,2,0,4,1,39,0
2,38,160192,11,9,2,2,0,4,1,43,0
2,39,136081,11,9,2,6,0,4,1,39,0
2,29,244473,8,11,2,12,0,4,1,39,0
2,45,187033,11,9,2,2,0,4,1,39,0
2,34,265807,11,9,2,13,0,4,1,54,0
2,38,154410,11,9,2,2,0,4,1,39,0
2,39,314007,0,6,2,2,0,4,1,39,0
2,61,179743,11,9,2,2,0,4,1,19,0
2,43,117037,1,7,2,13,0,4,1,39,0
2,35,40135,15,10,2,5,0,4,1,39,0
2,46,315423,15,10,2,11,0,4,1,49,0
2,38,35429,11,9,2,5,0,4,1,39,0
4,42,120837,11,9,2,2,0,4,1,47,0
2,34,90614,7,12,2,12,0,4,1,9,0
2,29,202878,5,4,2,4,0,4,1,39,0
2,32,260954,1,7,2,2,0,4,1,29,0
2,60,127084,11,9,2,10,0,4,1,33,0
1,49,107231,11,9,2,2,0,4,1,39,0
1,53,135102,11,9,2,7,0,4,1,44,0
2,56,201822,5,4,2,5,0,4,1,39,0
2,48,413363,1,7,2,13,0,4,1,39,0
0,32,148138,9,13,2,9,0,1,1,39,0
4,42,170721,11,9,2,2,0,4,1,39,0
2,32,102858,7,12,2,9,0,4,1,41,0
1,28,175262,7,12,2,10,0,4,1,39,0
2,26,36936,8,11,2,2,0,4,1,39,0
2,59,169982,9,13,2,3,0,4,1,49,0
4,47,208407,9,13,2,9,0,4,1,29,0
2,41,41090,11,9,2,2,0,4,1,59,0
2,36,183739,11,9,2,2,3,4,0,39,0
2,45,357540,9,13,2,11,0,4,1,54,0
2,30,48520,7,12,2,9,0,4,1,39,0
2,36,107916,11,9,2,13,0,4,1,39,0
3,34,198613,11,9,2,3,0,4,1,39,0
2,53,283743,11,9,2,13,0,4,1,39,0
2,51,210940,11,9,2,11,0,4,1,44,0
4,47,355978,10,16,2,13,0,4,1,44,0
2,30,57651,11,9,4,0,4,4,1,41,0
2,20,315877,11,9,4,7,4,4,1,39,0
0,42,74680,12,14,0,0,1,4,1,59,0
2,31,454508,1,7,4,2,1,4,1,39,0
2,33,202046,9,13,4,5,1,4,1,39,0
2,25,121102,7,12,4,12,1,4,0,29,0
2,20,146879,11,9,4,7,1,4,1,39,0
2,23,213955,11,9,4,0,3,2,1,39,0
4,41,277783,15,10,0,2,1,4,1,49,0
4,54,199741,11,9,6,2,1,4,1,34,0
2,25,378322,11,9,4,2,1,4,1,49,0
2,19,264390,15,10,4,0,3,4,0,39,0
2,24,210029,11,9,4,0,1,4,0,36,0
0,56,61885,9,13,4,13,1,2,1,64,0
1,21,102942,15,10,4,7,1,4,0,39,0
2,34,209297,11,9,4,6,1,2,1,39,0
2,19,198459,11,9,4,0,3,4,1,39,0
2,48,93476,11,9,5,0,1,4,0,39,0
2,34,174789,9,13,4,7,1,4,1,39,0
2,31,189759,11,9,4,4,1,4,1,39,0
2,36,297847,11,9,4,7,1,2,0,39,0
2,27,124953,11,9,4,7,1,4,1,39,0
2,27,116358,15,10,4,2,3,1,1,39,0
2,35,187119,9,13,0,11,1,4,0,64,0
4,31,161745,9,13,3,3,1,4,1,59,0
0,27,469705,11,9,4,2,1,2,1,39,0
1,28,304960,7,12,4,0,1,4,0,39,0
2,42,175935,11,9,0,13,1,4,1,45,0
2,44,355728,15,10,5,3,1,4,1,44,0
2,41,53956,9,13,0,11,1,4,1,55,0
2,28,184723,9,13,4,12,1,4,0,34,0
0,41,185616,11,9,4,0,1,4,0,39,0
2,35,54595,0,6,6,7,1,2,0,39,0
2,58,126104,12,14,0,0,1,4,0,44,0
2,40,139193,11,9,0,6,1,4,1,47,0
2,31,184306,8,11,4,13,3,4,1,59,0
2,30,207301,11,9,4,11,1,4,0,39,0
2,32,199529,15,10,5,12,1,0,1,39,0
2,25,111058,15,10,4,0,1,4,1,39,0
2,34,198103,11,9,4,13,3,4,1,39,0
2,56,34626,15,10,0,3,1,4,0,39,0
2,45,100651,11,9,0,7,1,4,1,39,0
2,50,104501,11,9,4,0,1,4,1,39,0
2,27,132805,0,6,4,11,2,4,1,39,0
2,51,96062,15,10,2,11,0,4,1,39,1
2,40,207578,7,12,2,12,0,4,1,59,1
2,41,445382,12,14,2,3,0,4,1,64,1
2,49,192776,12,14,2,3,0,4,1,44,1
2,37,22463,8,11,2,2,0,4,1,39,1
3,36,108293,9,13,2,3,5,4,0,44,1
2,35,199352,14,15,2,9,0,4,1,76,1
3,29,260729,11,9,2,11,5,4,0,24,1
2,50,133963,9,13,2,9,5,4,0,39,1
2,46,129007,9,13,2,11,0,4,1,39,1
4,44,179557,11,9,2,3,0,4,1,44,1
1,42,111252,12,14,2,3,0,4,1,39,1
0,38,338320,14,15,2,9,0,4,1,49,1
2,45,192835,9,13,2,3,0,4,1,54,1
1,43,147328,12,14,2,3,0,4,1,59,1
3,47,139268,14,15,2,9,0,4,1,59,1
3,58,349910,14,15,2,9,0,4,1,49,1
2,48,331482,14,15,2,12,0,4,1,39,1
1,42,245307,9,13,2,3,0,4,1,47,1
2,55,153484,12,14,2,3,0,4,1,49,1
2,51,252903,0,6,2,11,0,4,1,39,1
2,32,295589,12,14,2,3,0,2,1,39,1
1,45,160472,9,13,2,3,0,4,1,49,1
2,56,192869,12,14,2,2,0,4,1,43,1
2,38,234901,12,14,2,3,0,4,1,59,1
2,45,33300,8,11,2,11,0,4,1,49,1
2,49,101825,12,14,2,9,5,4,0,39,1
2,36,183612,11,9,2,9,0,4,1,39,1
2,49,185041,12,14,2,3,0,4,1,39,1
2,30,315640,10,16,2,9,0,1,1,39,1
3,42,123838,14,15,2,9,0,4,1,49,1
2,55,31905,12,14,2,3,0,4,1,39,1
2,34,181091,9,13,2,3,0,4,1,44,1
2,54,88278,10,16,2,9,0,4,1,49,1
4,42,323790,9,13,2,3,0,4,1,68,1
1,25,90730,9,13,2,9,0,4,1,39,1
3,55,138594,11,9,2,3,0,4,1,44,1
5,58,194068,12,14,2,9,0,4,1,49,1
2,62,218009,11,9,2,13,0,4,1,59,1
3,43,221172,14,15,2,9,0,4,1,39,1
1,57,174132,12,14,2,9,5,2,0,39,1
3,42,277256,10,16,2,9,0,4,1,59,1
4,63,35021,9,13,2,9,0,1,1,31,1
4,47,213668,14,15,2,9,0,4,1,49,1
2,37,99146,9,13,2,3,0,4,1,49,1
2,40,209547,9,13,2,11,0,4,1,59,1
2,43,118308,9,13,2,9,0,4,1,49,1
5,43,33331,14,15,2,9,0,4,1,68,1
4,41,200574,14,15,2,9,0,4,1,59,1
2,32,204374,14,15,2,9,0,4,1,59,1
2,47,189680,9,13,2,11,0,4,1,39,1
0,39,175232,15,10,2,5,0,4,1,59,1
2,53,193720,15,10,2,3,0,4,1,39,1
2,34,189759,9,13,2,3,0,4,1,44,1
2,36,32776,9,13,2,3,0,4,1,39,1
1,47,285060,12,14,2,3,0,4,1,40,1
2,52,23780,8,11,2,3,0,4,1,44,1
4,40,284706,14,15,2,9,0,0,1,59,1
3,42,130126,9,13,2,9,0,4,1,39,1
2,51,102615,12,14,2,10,0,4,1,39,1
2,55,208311,12,14,2,12,0,4,1,19,1
2,38,111499,11,9,2,11,0,4,1,93,1
2,52,139671,15,10,2,3,0,4,1,49,1
0,60,165630,11,9,2,12,0,4,1,39,1
2,55,124808,8,11,2,9,0,4,1,49,1
1,47,29819,12,14,2,3,0,2,1,49,1
2,46,102771,12,14,2,12,0,4,1,39,1
2,35,86648,12,14,2,9,0,4,1,44,1
